disc_facility,method_group,discoveries,share_within_facility
HATNet,Transit,21,1.0
HATSouth,Radial Velocity,1,0.014705882352941176
HATSouth,Transit,67,0.9852941176470589
Haute-Provence Observatory,Radial Velocity,41,1.0
K2,Microlensing,1,0.0018248175182481751
K2,Transit,547,0.9981751824817519
KMTNet,Microlensing,113,1.0
Kepler,Other,14,0.0077777777777777776
Kepler,Transit,1786,0.9922222222222222
La Silla Observatory,Radial Velocity,132,0.9777777777777777
La Silla Observatory,Transit,3,0.022222222222222223
Multiple Observatories,Microlensing,3,0.01107011070110701
Multiple Observatories,Other,23,0.08487084870848709
Multiple Observatories,Radial Velocity,227,0.8376383763837638
Multiple Observatories,Transit,18,0.06642066420664207
OGLE,Microlensing,85,1.0
SuperWASP,Transit,35,1.0
Transiting Exoplanet Survey Satellite (TESS),Other,5,0.007215007215007215
Transiting Exoplanet Survey Satellite (TESS),Transit,688,0.9927849927849928
W. M. Keck Observatory,Other,2,0.0392156862745098
W. M. Keck Observatory,Radial Velocity,49,0.9607843137254902
