pl_name,hostname,pl_eqt,pl_rade,pl_insol,pl_orbper,st_teff,sy_vmag,sy_snum,temp_score,radius_score,insolation_score,period_score,stellar_temp_score,observability_score,system_score,priority_score,priority_band,reference_source,authoritative_match
Kepler-452 b,Kepler-452,265.0,1.63,1.1,384.843,5757.0,13.54,1,0.863341939525111,0.6724012623970028,0.9607894391523232,0.9947626121824557,0.9086858317357546,0.24354647076959585,1.0,0.7460129658780543,High Priority,NASA Exoplanet Archive,匹配
Kepler-22 b,Kepler-22,279.0,2.1,1.013,289.863876,5596.0,11.751,1,0.9777512371933363,0.29819727942988733,0.9993242284365228,0.9500234293759464,0.952752609803211,0.4651952680716535,1.0,0.737044238710716,High Priority,,不在参考中
HIP 41378 f,HIP 41378,294.0,9.2,1.24,542.07975,6320.0,8.93,1,0.9900498337491681,6.2811481476060214e-30,0.7942158526165467,0.9004111179285138,0.678982113743459,0.8065548316453399,1.0,0.6785224995258285,Follow-up,,不在参考中
LP 890-9 c,LP 890-9,272.0,1.367,0.906,8.457463,2850.0,18.0,1,0.931358402111352,0.8739876795942884,0.9652733051207645,1.2829457858307319e-05,0.18186778560095973,0.026310839550463053,1.0,0.6452015455509752,Follow-up,,不在参考中
K2-3 d,K2-3,305.2,1.458,1.44,44.55603,3844.0,12.168,1,0.9211081915723117,0.810775566427162,0.46098028621083365,0.0324946942022545,0.5669347217272434,0.40827256525870087,1.0,0.6325177626956616,Follow-up,,不在参考中
Kepler-1653 b,Kepler-1653,284.0,2.17,0.98,140.2524,4807.0,15.864,1,0.9955654174830928,0.25438663099940384,0.9984012793176064,0.49019561352540114,0.953448902824772,0.08132757740616013,1.0,0.6256745364776075,Follow-up,,不在参考中
PH2 b,PH2,295.1,9.33708092,1.2,282.52542,5734.0,12.645,1,0.986094805106821,6.509219888129704e-31,0.8521437889662115,0.9119544268787876,0.9157507016590014,0.3461261563025199,1.0,0.6202527396238519,Follow-up,,不在参考中
Kepler-1652 b,Kepler-1652,268.0,1.6,0.81,38.09722,3638.0,16.86,1,0.8948393168143698,0.697676326071031,0.8655414622217661,0.022937156477871624,0.47093355288043853,0.048439956055076304,1.0,0.6028578687519633,Follow-up,,不在参考中
Kepler-1126 c,Kepler-1126,305.0,1.45,2.06,199.66876,5678.0,14.221,1,0.9228599607900654,0.8166864825981108,0.011171381433530823,0.5988794521474792,0.9319093312584351,0.18069192457578936,1.0,0.5795177278901822,Follow-up,,不在参考中
Gliese 12 b,Gliese 12,314.6,0.958,1.62,12.761408,3296.0,12.6,1,0.8215648164919753,0.9982375549335647,0.21489623398220525,6.058926635219257e-05,0.3266409161645288,0.35180578013625535,1.0,0.5783974826959611,Follow-up,,不在参考中
TOI-2134 c,TOI-2134,306.0,7.27,1.4,95.5,4580.0,8.933,1,0.9139311852712282,8.445482422859992e-18,0.5272924240430488,0.219618503021268,0.8881257147829419,0.8062946585513753,1.0,0.5702461824607691,Follow-up,,不在参考中
TOI-2095 c,TOI-2095,297.0,1.33,1.84,28.17232,3759.0,13.19,1,0.9777512371933363,0.8968200950237868,0.059463059974303144,0.0034950348890887715,0.5268237653175164,0.2811248364790263,1.0,0.5651555679034111,Follow-up,,不在参考中
Kepler-1649 c,Kepler-1649,234.0,1.06,0.75,19.53527,3240.0,17.95,1,0.4448580662229411,0.9964064722309933,0.7788007830714049,0.0014539139031317693,0.30553864453556284,0.027031908233031986,1.0,0.5294738760035073,Context,NASA Exoplanet Archive,匹配
Kepler-1649 b,Kepler-1649,307.0,1.017,2.208,8.689099,3240.0,17.95,1,0.9045861092143463,0.9997110417564774,0.002917418876549764,3.1029748666485277e-06,0.30553864453556284,0.027031908233031986,1.0,0.500760541187716,Context,,不在参考中
K2-133 e,K2-133,296.0,1.73,1.8,26.5841,3655.0,14.073,1,0.9823793146181776,0.586900487959338,0.07730474044329971,0.0031799405840751975,0.4786737064360557,0.1931852609826001,1.0,0.4825521607489683,Context,,不在参考中
TOI-712 d,TOI-712,313.6,2.474,1.6,84.8396,4622.0,10.838,1,0.8335642922905699,0.11387248605515414,0.23692775868212165,0.14281471152683536,0.9020256291070332,0.5909219022633507,1.0,0.4796670307206245,Context,,不在参考中
Kepler-1661 b,Kepler-1661,243.0,3.87,0.88,175.06,5100.0,14.357,2,0.569782824730923,0.0002647035599030915,0.9440274829178357,0.6302722712030392,0.9969183383439394,0.1697750697948273,0.75,0.47752745420375897,Context,,不在参考中
Kepler-1996 c,Kepler-1996,276.0,2.81,1.38,92.7297248,4580.0,15.11,1,0.9607894391523232,0.03777529354399197,0.5612437364432351,0.20045979875648906,0.8881257147829419,0.11862085720352272,1.0,0.4705999836201478,Context,,不在参考中
Kepler-553 c,Kepler-553,251.0,11.57887706,0.589,328.24017,5191.0,15.034,1,0.6836714740908961,2.494353821082966e-49,0.5088082766946452,0.995429650941303,0.9999750003124974,0.1231067569839781,1.0,0.4574587319380213,Context,,不在参考中
TOI-715 b,TOI-715,234.0,1.55,0.67,19.288004,3075.0,16.683,1,0.4448580662229411,0.7389684882589442,0.6468764247621299,0.002190551272039827,0.24815259496665634,0.05317910228046691,1.0,0.4504133979779035,Context,,不在参考中
TOI-4336 A b,TOI-4336 A,308.0,2.12,1.5,16.336334,3298.0,13.6,3,0.8948393168143698,0.28524694505730513,0.36787944117144233,0.0003701183394179985,0.32740922285715696,0.23745802834390256,0.75,0.43615067129940077,Context,,不在参考中
HIP 41378 e,HIP 41378,335.0,4.92,2.1,369.0,6320.0,8.93,1,0.541392307134668,2.1205927548738178e-07,0.007907054051593435,0.976755296369098,0.678982113743459,0.8065548316453399,1.0,0.4354166903249443,Context,,不在参考中
TOI-6002 b,TOI-6002,321.4,1.65,1.6823,10.904821,3229.0,14.6,1,0.7335366052195995,0.6554062543268406,0.15534090967224895,2.223922841192238e-05,0.30148801947672915,0.15158514878928694,1.0,0.4335759120345619,Context,,不在参考中
K2-9 b,K2-9,314.0,2.25,1.36,18.4498,3390.0,15.86,1,0.8287988642954259,0.2096113871510978,0.5954725422392696,0.0006420597447438672,0.3638032878899076,0.08149376173633938,1.0,0.4287597293727273,Context,,不在参考中
Kepler-1052 c,Kepler-1052,302.0,2.3,1.96,180.921729,5818.0,14.932,1,0.9470111191252555,0.18451952399298935,0.025062063262558762,0.45797861860780875,0.88880467765911,0.12935579814596745,1.0,0.4256387490702249,Context,,不在参考中
HD 219134 d,HD 219134,410.5,1.61,4.72,46.859,4699.0,5.56911,1,0.015476960537936948,0.6892853105466262,9.125086007021492e-25,0.009316251941666895,0.9254553017655066,0.9642547761568402,1.0,0.42519571681885765,Context,,不在参考中
TOI-2095 b,TOI-2095,347.0,1.25,3.43,17.66484,3759.0,13.19,1,0.38024311882946304,0.9394130628134758,5.522529637251539e-11,0.00015896731027895578,0.5268237653175164,0.2811248364790263,1.0,0.4201538362180744,Context,,不在参考中
Kepler-311 d,Kepler-311,327.0,2.05,2.71,232.040326,5903.0,13.902,1,0.6554062543268405,0.3320399453446608,8.323730718235086e-06,0.696067527151002,0.8585300108251287,0.20842515226077454,1.0,0.4150615175143237,Context,,不在参考中
Kepler-138 d,Kepler-138,345.0,1.51,3.4,23.0923,3841.0,13.04,1,0.4055545050633206,0.7709744845001153,9.859505575991516e-11,0.0008223209416027838,0.5655113007402949,0.2982687530742526,1.0,0.39463230709608077,Context,,不在参考中
TOI-2180 b,TOI-2180,348.0,11.32107051,2.71,260.79,5695.0,9.162,1,0.36787944117144233,5.45756597549699e-47,8.323730718235086e-06,0.8587564699959382,0.9271638278117531,0.7856479254728405,1.0,0.3940395380061669,Context,,不在参考中
