pl_name,hostname,pl_eqt,pl_rade,pl_orbper,st_teff,st_rad,sy_vmag,sy_dist,sy_snum,pl_insol,pl_insol_effective,pl_bmasse,pl_bmasse_filled,temp_score,insolation_score,period_score,stellar_temp_score,climate_score,radius_score,mass_score,structure_score,transit_depth_ppm,transit_visibility_score,brightness_score,distance_score,observability_score,system_score,priority_score,priority_band
K2-3 d,K2-3,305.2,1.458,44.55603,3844.0,0.546,12.168,44.0727,1,1.44,1.44,2.2,2.2,1.0,1.0,1.0,0.68,0.92,1.0,1.0,1.0,599.3373676427258,0.6242513007201337,0.36431907898283655,0.656401952092032,0.5283160748681894,1.0,0.8602295364710016,High Priority
Kepler-452 b,Kepler-452,265.0,1.63,384.843,5757.0,1.11,13.54,551.727,1,1.1,1.1,,4.614479799921013,1.0,1.0,1.0,1.0,1.0,0.9666666666666669,1.0,0.9833333333333334,181.24700745592833,0.2736128442493917,0.1544652650835348,0.10942912340240751,0.1849078823713029,1.0,0.81651306745502,High Priority
Kepler-69 c,Kepler-69,299.0,1.71,242.4613,5638.0,0.93,13.866,730.625,1,,1.8902708258926826,,5.152076618484233,1.0,0.619458348214635,1.0,1.0,0.9048645870536587,0.8777777777777779,0.9695846763031535,0.9236812270404657,284.1632539111046,0.3969050940881411,0.1222099830458771,0.08305752079205185,0.2085651563472132,1.0,0.7639937053306498,High Priority
K2-133 e,K2-133,296.0,1.73,26.5841,3655.0,0.455,14.073,75.1703,1,1.8,1.8,,5.291725359882358,1.0,0.7999999999999999,0.8256011243411052,0.44375,0.7673377810852763,0.8555555555555556,0.9416549280235283,0.898605241789542,1215.0971617591586,0.7997292249664879,0.10487758555546822,0.5168958792390965,0.4510802327702321,1.0,0.7491909631452108,High Priority
TOI-2095 c,TOI-2095,297.0,1.33,28.17232,3759.0,0.44,13.19,41.9176,1,1.84,1.84,7.4,7.4,1.0,0.7199999999999999,0.9093158743042768,0.57375,0.8007664685760691,1.0,0.5199999999999999,0.76,767.9616312798445,0.6932283465748148,0.1964970665466035,0.6685720978731167,0.48837177238810575,1.0,0.7377867007846143,High Priority
Kepler-1126 c,Kepler-1126,305.0,1.45,199.66876,5678.0,0.921,14.221,635.736,1,2.06,2.06,,3.954227100762263,1.0,0.28000000000000014,1.0,1.0,0.8200000000000001,1.0,1.0,1.0,208.3331294317622,0.3092671632395569,0.09385060313959855,0.09530918615973098,0.16961104492961707,1.0,0.7363144298845157,High Priority
LHS 1140 b,LHS 1140,226.0,1.73,24.73723,3096.0,0.2159,14.15,14.9861,1,0.43,0.43,5.6,5.6,0.7666666666666667,1.0,0.7217214600215925,0.0,0.6220970316720648,0.8555555555555556,0.8800000000000001,0.8677777777777779,5396.702964553946,0.9621177033644214,0.0990046450582466,0.8603864502066303,0.5914396667525037,1.0,0.7070048353824244,High Priority
Kepler-22 b,Kepler-22,279.0,2.1,289.863876,5596.0,0.869,11.751,194.642,1,1.013,1.013,9.1,9.1,1.0,1.0,1.0,1.0,1.0,0.44444444444444436,0.18000000000000008,0.31222222222222223,490.8407715056389,0.5645945929297317,0.4478981526314826,0.2758050340034911,0.4457186270788719,1.0,0.7061136535129074,High Priority
TOI-715 b,TOI-715,234.0,1.55,19.288004,3075.0,0.24,16.683,42.4048,1,0.67,0.67,,4.110116810908216,0.9,1.0,0.36274135452206835,0.0,0.5656853386305171,1.0,1.0,1.0,3505.762622677134,0.9369899659855497,0.013136116921405337,0.6657861397850263,0.49964746980976105,1.0,0.69448084574188,Follow-up
Gliese 12 b,Gliese 12,314.6,0.958,12.761408,3296.0,0.2617,12.6,12.21,1,1.62,1.62,3.87,3.87,1.0,1.0,0.0,0.0,0.5,1.0,1.0,1.0,1126.3287411070971,0.7842270531001427,0.2856375705089441,0.8850285235355551,0.6099916276725164,1.0,0.6891981580879535,Follow-up
