method_group,disc_year,forecast,conf_low,conf_high
Microlensing,2026,29.690474200883745,14.45941358458835,44.921534817179136
Microlensing,2027,31.294370049326954,16.06330943303156,46.52543066562235
Microlensing,2028,32.898265897770166,17.66720528147477,48.12932651406556
Microlensing,2029,34.502161746213375,19.27110112991798,49.73322236250877
Microlensing,2030,36.10605759465659,20.874996978361196,51.337118210951985
Other,2026,12.45000008966904,5.654940030703235,19.245060148634842
Other,2027,12.890769346038455,6.095709287072651,19.68582940500426
Other,2028,13.331538602407873,6.536478543442069,20.126598661373677
Other,2029,13.772307858777289,6.977247799811485,20.56736791774309
Other,2030,14.213077115146707,7.4180170561809025,21.008137174112512
Radial Velocity,2026,69.66451555247909,38.15915559797936,101.16987550697883
Radial Velocity,2027,71.7201604282463,40.21480047374657,103.22552038274603
Radial Velocity,2028,73.77580530401352,42.270445349513786,105.28116525851325
Radial Velocity,2029,75.83145017978073,44.326090225281,107.33681013428046
Radial Velocity,2030,77.88709505554795,46.381735101048214,109.39245501004768
Transit,2026,359.48238454213555,-245.4387776787358,964.403546763007
Transit,2027,373.1686679554298,-231.75249426544156,978.0898301763011
Transit,2028,386.85495136872396,-218.06621085214738,991.7761135895953
Transit,2029,400.54123478201814,-204.3799274388532,1005.4623970028895
Transit,2030,414.2275181953123,-190.69364402555902,1019.1486804161837
