disc_year,method_group,discoveries
1992,Other,2
1994,Other,1
1995,Radial Velocity,1
1996,Radial Velocity,6
1997,Radial Velocity,1
1998,Radial Velocity,6
1999,Radial Velocity,13
2000,Radial Velocity,16
2001,Radial Velocity,12
2002,Radial Velocity,28
2002,Transit,1
2003,Other,1
2003,Radial Velocity,21
2004,Microlensing,1
2004,Other,3
2004,Radial Velocity,18
2004,Transit,5
2005,Microlensing,2
2005,Other,1
2005,Radial Velocity,33
2006,Microlensing,1
2006,Other,5
2006,Radial Velocity,21
2006,Transit,5
2007,Other,2
2007,Radial Velocity,34
2007,Transit,16
2008,Microlensing,4
2008,Other,7
2008,Radial Velocity,36
2008,Transit,16
2009,Microlensing,2
2009,Other,1
2009,Radial Velocity,73
2009,Transit,18
2010,Microlensing,2
2010,Other,8
2010,Radial Velocity,41
2010,Transit,47
2011,Microlensing,1
2011,Other,11
2011,Radial Velocity,43
2011,Transit,79
2012,Microlensing,7
2012,Other,4
2012,Radial Velocity,35
2012,Transit,93
2013,Microlensing,5
2013,Other,10
2013,Radial Velocity,33
2013,Transit,80
2014,Microlensing,6
2014,Other,17
2014,Radial Velocity,49
2014,Transit,798
2015,Microlensing,4
2015,Other,6
2015,Radial Velocity,46
2015,Transit,99
2016,Microlensing,10
2016,Other,4
2016,Radial Velocity,50
2016,Transit,1432
2017,Microlensing,9
2017,Other,7
2017,Radial Velocity,49
2017,Transit,87
2018,Microlensing,21
2018,Other,4
2018,Radial Velocity,46
2018,Transit,242
2019,Microlensing,14
2019,Other,10
2019,Radial Velocity,65
2019,Transit,108
2020,Microlensing,20
2020,Other,3
2020,Radial Velocity,46
2020,Transit,165
2021,Microlensing,21
2021,Other,11
2021,Radial Velocity,76
2021,Transit,447
2022,Microlensing,51
2022,Other,9
2022,Radial Velocity,118
2022,Transit,191
2023,Microlensing,30
2023,Other,13
2023,Radial Velocity,55
2023,Transit,226
2024,Microlensing,28
2024,Other,16
2024,Radial Velocity,28
2024,Transit,188
2025,Microlensing,14
2025,Other,12
2025,Radial Velocity,41
2025,Transit,103
